,0,1,2,3,4,5,6,7,8,9,10,11,12
0,butter,potato,0.65,0.292,0.202,0.541,0.235,0.265,0.75,0.9063538908958435,1.22,3.9073856936120146,1.19
1,choose,elect,0.615,0.542,0.648,0.667,0.554,0.661,0.8,0.8207060098648071,7.62,6.614633817214295,1.14
2,bread,flour,0.66,0.314,0.342,0.53,0.235,0.239,0.8,0.9174583554267883,3.33,3.846979297927501,1.25
3,bed,hospital,0.604,0.173,0.327,0.323,0.537,0.598,0.6666666666666666,0.8534948825836182,0.92,3.7713050380348645,1.35
4,diet,apple,0.429,0.235,0.398,0.811,0.3,0.264,0.4,0.9201089143753052,1.18,1.8392010234678744,1.56
5,argument,criticism,0.51,0.464,0.698,0.115,0.563,0.505,0.6153846153846154,0.9182789921760559,5.08,3.575318939809848,1.07
6,inspect,examine,0.479,0.603,0.793,0.615,0.623,0.786,0.5,0.8659030795097351,8.75,6.097162053927901,1.39
7,snow,weather,0.667,0.363,0.309,0.755,0.404,0.567,0.8888888888888888,0.9537764191627502,5.48,5.221523474407048,1.36
8,tongue,throat,0.542,0.432,0.482,0.35,0.538,0.346,0.7142857142857143,0.9448359608650208,3.1,3.9661859120540046,1.31
9,apple,lemon,0.811,0.3,0.264,0.596,0.317,0.316,0.8571428571428571,0.9275266528129578,4.05,4.7591858921268235,1.58
10,speak,acknowledge,0.765,0.472,0.5,0.786,0.37,0.661,0.46153846153846156,0.819570779800415,4.67,3.0135882986431883,1.47
11,clothes,coat,0.833,0.27,0.414,0.677,0.256,0.464,0.8571428571428571,0.9253802299499512,5.35,4.784935429434123,1.37
12,win,accomplish,0.927,0.694,0.888,0.929,0.673,0.816,0.6666666666666666,0.8799246549606323,7.85,7.472346078938814,0.8
13,adult,guardian,0.815,0.491,0.787,0.656,0.686,0.789,0.7058823529411765,0.6615650057792664,6.9,6.538533338305787,1.19
14,endurance,band,0.592,0.745,0.76,0.648,0.552,0.525,0.375,0.902540385723114,0.4,4.213712678747994,0.44
15,rough,frigid,0.406,0.794,0.632,0.219,0.481,0.395,0.5,0.7384663224220276,2.47,3.734665064561002,1.37
16,know,believe,0.765,0.361,0.704,0.781,0.37,0.682,0.75,0.9455597400665283,5.5,5.4786681211833965,1.18
17,flower,bush,0.802,0.189,0.254,0.413,0.22,0.315,0.7619047619047619,0.7810013294219971,4.25,4.314867180894559,1.66
18,doctor,professor,0.7,0.531,0.861,0.656,0.398,0.721,0.5454545454545454,0.8542376756668091,4.65,5.722863237001733,1.19
19,bubble,suds,0.774,0.213,0.364,0.458,0.365,0.255,0.9,0.7445087432861328,8.57,5.109487062297206,1.59
20,ignorance,intelligence,0.153,0.417,0.209,0.833,0.587,0.885,0.6666666666666666,0.9428766369819641,1.5,1.3429933932142024,1.3
21,opinion,choice,0.594,0.482,0.638,0.745,0.52,0.664,0.625,0.9177688360214233,5.43,5.028310472287775,1.5
22,learn,evaluate,0.833,0.643,0.829,0.663,0.64,0.649,0.4,0.7415223717689514,4.17,5.123608197499578,0.88
23,take,leave,0.828,0.537,0.348,0.375,0.315,0.295,0.5555555555555556,0.8430259227752686,2.47,1.8823444573669947,0.8
24,discover,originate,0.771,0.793,0.673,0.702,0.5,0.866,0.4,0.7435278296470642,4.83,4.650447018414588,1.33
25,essential,necessary,0.812,0.405,0.759,0.75,0.433,0.679,1.0,0.8752361536026001,8.97,7.962927059557805,1.11
26,beer,alcohol,0.592,0.654,0.5,0.323,0.667,0.377,0.9,0.9008248448371887,7.5,5.818357391321871,1.07
